ID,group,S_om2,S_al,S_rho,T_om2,T_al,T_rho
10392073,A,-1.15741298372674,1.24371652321768,-0.0342103962141237,-0.83546784567324,0.957988150586482,-0.00109415588554664
10393020,A,-0.25028115116621,0.844322266390057,-0.0444087446092324,-0.171000827643772,0.804249459193186,0.040515882642947
10611650,B,-1.2177284295175,0.807160937718456,-0.0714407340271151,-1.31385786862352,0.902965835448746,0.114632561218372
10611659,B,-0.589992750004449,0.988208282537488,-0.0791653977479507,-1.16920949392635,1.40527966546961,0.0361248209568218
10611671,B,-0.920700265601202,0.0165486107992786,-0.39468284963945,-2.30354152134008,0.511145959108797,-0.0149750126137024
10611694,B,-0.219374682079977,0.806039483856142,0.131424002139438,-1.5408453006756,0.564228719373472,0.0369476363126352
10611707,B,-2.38041600378432,0.616863758279761,0.0301458238255305,-2.12609929048258,0.720588487577951,0.0539001476320978
10611711,B,-1.14956927540234,0.452779651110809,-0.245867691447078,-2.37386132748461,0.914896251277912,0.102055736747241
10611718,B,-1.5395660805012,0.643231238383012,0.079655240869259,-1.86239526629442,0.849433845842438,0.0082532693011539
10611731,B,-2.25610378249682,0.561789069095283,0.110836916319437,-3.29677891320367,0.493487905067918,0.0864132422349256
10611749,B,-2.04816930764163,0.57501430468677,0.0781538394470246,0.172268747676393,0.726347524320087,0.244870420209626
10611753,B,-1.25228705713332,0.817530363120433,-0.0816479312027215,-2.95286303410299,0.709182289281257,0.0747483751202242
10611777,B,-1.09686379958696,0.783928243522321,0.0805315583570768,0.865316973385869,0.537593400947936,0.269876627067724
10611780,B,-1.31075136104582,0.67844887444445,0.00543828448899348,-2.74799751107705,0.752739507044575,0.0510898122485339
10611794,B,-2.39948613080338,0.599837190543987,0.0176665103737138,-1.01298043655354,3.0371001456481,-0.00846512421926562
10611795,B,-1.07073537027909,0.660789592045578,-0.0113650994288327,-1.84912954801901,1.25077081599984,0.0595625073212757
10611796,B,-1.98839511419385,0.722066866354236,0.121068747248979,-2.36583360803547,0.676522207499131,-0.0274935665054711
10611807,B,-0.0985286800674617,0.856084809969086,0.0791971961060345,-3.0038521550245,1.20941578363501,0.0961469616022003
10611808,B,-2.54739904870566,0.612516447732723,-0.00756011586316972,-2.59691006537843,0.66215600543901,0.0983581929813625
10611812,B,-1.51409066514791,0.824141583485028,0.0754089401175215,1.16450097053143,1.69763875980365,-0.0218387107474965
10611825,B,-0.415514838027412,0.741165981989027,0.0125872064475377,0.340264690980848,1.1179870489916,-0.105026243352741
10611841,B,-1.39856256571356,0.982575979697558,0.14259907213599,-2.11077723063089,0.599873011117498,-0.0298742663267152
10611848,B,-2.11233446984658,1.06322428090817,0.0740751178785033,-2.49736844294434,0.604796149719754,0.0585210590546126
10611879,B,-1.22260337806176,0.906252478578252,0.191300303423858,0.92562449329608,1.0363685611112,-0.112229717371557
10611888,B,-1.77729278880253,0.601505487036125,-0.144055338989638,-0.103252661405597,0.691774361761614,0.0181540513386976
10611904,B,-1.09480055375509,0.930441068689621,0.0032702878024558,-2.30400512842149,0.561652514963484,0.0601186335773037
10611905,B,-1.80622561275457,0.766244940509072,-0.100132455187908,-1.68064486723419,0.827023285821361,0.126743678779337
10611981,B,-2.77622885246705,1.15479737884402,0.0117660299977167,-0.308450910609378,0.0185151575075423,-0.139465318998012
10611992,B,-5.86468994800748,0.000107535960552941,-0.00495156422320848,-1.47284591059198,0.691390327547268,-0.0104881211868294
10612047,B,-0.928057262259422,0.815103950688869,0.0767909623739132,-2.52516935142188,0.717601527781736,0.00643859846730628
10612048,B,-0.839184825926681,0.742261871617348,-0.0710766767094672,-1.75028397939125,0.765197324988273,0.108061675609628
10612179,B,-2.7059290214261,0.48509401084087,0.0408233540374508,-2.03967509400466,0.776447939693214,-0.0424741010116307
10612196,B,-2.18881535973588,0.691105913215053,-0.00092953280714143,0.292120435974164,0.806578455724222,0.161791543103939
10612243,B,-1.61476037539961,0.69633762792021,0.092769692486183,-2.52433040132111,0.689307116196889,-0.0374933501949545
